question,answer
Siapa sajakah yang masuk dalam Anggota Keluarga?,"Anggota Keluarga adalah istrisuami yang sah, anak kandung, anak tiri dari perkawinan yang sah, dan anak angkat yang sah"
Berapa besaran iuran PBI?,Iuran dibayarkan oleh pemerintah sebesar Rp. 42.000.00orangbulan
Brapa besaran iuran Peserta PBPU/Mandiri/Perseorangan?,Iuran dibayarkan oleh yang bersangkutanpihak lain atas nama peserta dengan besaran iuran antara lain Kelas I sebesar Rp. 150.000 orangbulan Kelas II sebesar Rp. 100.000 orangbulan Kelas III sebesar Rp. 42.000 orangbulan
Cara Perubahan Data Melalui Aplikasi Mobile JKN?,"1. Lakukan Sign In ke dalam Aplikasi Mobile JKN. 2. Pilih menu ubah data peserta 3. Pilih Data yang akan diubah 4. Lakukan Perubahan Data 5. Setelah melakukan perubahan data sesuai kebutuhan, BapakIbu klik Simpan lalu masukkan kode verifikasi yang telah dikirimkan ke nomor handphone BapakIbu."
Bagaimana Jika Kartu Peserta Hilang?,Jika kartu peserta hilang maka dapat melakukan pencetakan kartu menggunakan aplikasi Mobile JKN pada menu kartu peserta atau menggunakan nomor NIK Kartu Tanda PendudukKartu Identitas AnakKartu Keluarga jika membutuhkan pelayanan kesehatan di Fasilitas Kesehatan tingkat pertama atau Rumah Sakit
Apa itu Aplikasi Mobile JKN?,"Aplikasi Mobile JKN merupakan inovasi untuk kemudahan calon peserta atau peserta JKN-KIS, dengan memanfaatkan teknologi informasi yang dapat diunduh melalui aplikasi Mobile JKN di Google Playstore atau Apps Store. I. 5 Kemudahan menggunakan Aplikasi Mobile JKN a. Kemudahan mendaftar dan mengubah data kepesertaan. b. Kemudahan mengetahui informasi data peserta dan keluarga. c. Kemudahan mengetahui informasi tagihan dan pembayaran iuran. d. Kemudahan mendapatkan pelayanan di Faskes. e. Kemudahan"
Siapa saja anggota yang ditanggung oleh Pekerja Penerima Upah?,"Anggota keluarga meliputi istrisuami yang sah, anak kandung, anak tiri dari perkawinan yang sah, dan anak angkat yang sah, sebanyak-banyaknya 5 orang. Anak kandung, anak tiri dari perkawinan yang sah, dan anak angkat yang sah dengan kriteria a. Tidak atau belum pernah menikah atau tidak mempunyai penghasilan sendiri dan b. Belum berusia 21 tahun atau belum berusia 25 tahun yang masih melanjutkan pendidikan formal. Anggota keluarga lain meliputi anak ke 4 dan seterusnya, ayah, ibu, dan mertua."
Apa Hak Peserta,"Anggota keluarga meliputi istrisuami yang sah, anak kandung, anak tiri dari perkawinan yang sah, dan anak angkat yang sah, sebanyak-banyaknya 5 orang. Anak kandung, anak tiri dari perkawinan yang sah, dan anak angkat yang sah dengan kriteria a. Tidak atau belum pernah menikah atau tidak mempunyai penghasilan sendiri dan b. Belum berusia 21 tahun atau belum berusia 25 tahun yang masih melanjutkan pendidikan formal. Anggota keluarga lain meliputi anak ke 4 dan seterusnya, ayah, ibu, dan mertua."
Apakah yang dimaksud Kartu Indonesia Sehat,"1. Mendapatkan kartu identitas peserta sebagai identitas peserta JKN-KIS untuk memperoleh pelayanan kesehatan. 2. Memperoleh manfaat dan informasi tentang hak dan kewajiban serta prosedur pelayanan kesehatan sesuai dengan ketentuan yang berlaku. 3. Mendapatkan pelayanan kesehatan di fasilitas kesehatan yang bekerja sama dengan BPJS Kesehatan. 4. Menyampaikan pengaduan, kritik dan saran secara lisan maupun tertulis kepada BPJS Kesehatan."
"Cara Melakukan Perubahan Domisili, Nomor Handphone dan Alamat Email","Perubahan domisili, nomor handphone dan alamat email diperlukan untuk kemudahan korespodensi maupun penyampaian informasi kepada peserta. Peserta melaporkan perubahan domisili, nomor handphone dan alamat email melalui kanal layanan yang disediakan oleh BPJS Kesehatan"
