category,subcategory,question,answer
UMUM,PENGERTIAN UMUM,Apa itu BPJS Ketenagakerjaan?,"BPJS Ketenagakerjaan adalah badan hukum yang dibentuk untuk menyelenggarakan program Jaminan Kecelakaan Kerja, Jaminan Hari Tua, Jaminan Pensiun, Jaminan Kematian dan Jaminan Kehilangan Pekerjaan yang bertujuan untuk memberikan perlindungan paripurna kepada seluruh pekerja di Indonesia."
UMUM,PENGERTIAN UMUM,Apa saja program BPJS Ketenagakerjaan?,"Program yang diselenggarakan oleh BPJS Ketenagakerjaan terdiri dari 5 (lima) program, yaitu Jaminan Kecelakaan, Jaminan Hari Tua, Jaminan Pensiun, Jaminan Kematian dan dan Jaminan Kehilangan Pekerjaan."
UMUM,PENGERTIAN UMUM,Siapakah yang dimaksud peserta BPJS Ketenagakerjaan?,"Program yang diselenggarakan oleh BPJS Ketenagakerjaan terdiri dari 5 (lima) program, yaitu Jaminan Kecelakaan, Jaminan Hari Tua, Jaminan Pensiun, Jaminan Kematian dan dan Jaminan Kehilangan Pekerjaan., Peserta BPJS Ketenagakerjaan terdiri dari:, Peserta Penerima Upah yang meliputi: Pekerja yang bekerja pada Pemberi Kerja penyelenggara negara meliputi: Pegawai pemerintah non-pegawai negeri Pejabat negara non-aparatur sipil negara dan Pegawai non-aparatur sipil negara pada lembaga tinggi negara atau lembaga negara. Pekerja yang bekerja pada Pemberi Kerja selain Penyelenggara Negara meliputi: Pekerja pada perusahaan Pekerja pada orang perseorangan Orang asing yang bekerja di Indonesia paling singkat 6 (enam) bulan Pekerja dalam masa percobaan Komisaris dan direksi yang menerima upah dan Pengawas dan pengurus yang menerima upah. Peserta Bukan Penerima Upah yang meliputi: Pemberi kerja Pekerja di luar hubungan kerja atau pekerja mandiri Pekerja yang tidak termasuk huruf b. yang bukan menerima upah. Pekerja Migran Indonesia adalah setiap warga negara Indonesia yang akan, sedang, atau telah melakukan pekerjaan dengan menerima upah di luar wilayah Republik Indonesia. Peserta Sektor Jasa Konstruksi meliputi Pekerja harian lepas, borongan, dan perjanjian kerja waktu tertentu di sektor Jasa Konstruksi."
UMUM,PENGERTIAN UMUM,Berapa iuran yang harus dibayarkan oleh peserta BPJS Ketenagakerjaan?,"Iuran untuk Pekerja Formal atau Penerima Upah Jaminan Kecelakaan Kerja (JKK): Sebesar 0,24% hingga 1,74% dari upah, sepenuhnya ditanggung oleh perusahaan. Jaminan Kematian (JKM): Sebesar 0,3% dari upah, sepenuhnya ditanggung oleh perusahaan. Jaminan Hari Tua (JHT): Sebesar 5,7% dari upah, dengan rincian 3,7% ditanggung oleh perusahaan dan 2% oleh pekerja. Jaminan Pensiun (JP): Sebesar 3% dari upah, dengan rincian 2% ditanggung oleh perusahaan dan 1% oleh pekerja. Jaminan Kehilangan Pekerjaan (JKP): Tidak dikenakan tambahan iuran. Komponen iuran JKP berasal dari rekomposisi iuran JKK sebesar 0,14%. Iuran untuk Pekerja Informal atau Bukan Penerima Upah Jaminan Kecelakaan Kerja (JKK): Sebesar 1% dari dasar penetapan penghasilan. Jaminan Kematian (JKM): Sebesar Rp 6.800 per bulan. Jaminan Hari Tua (JHT): Sebesar 2% dari dasar penetapan penghasilan. Iuran untuk Pekerja Jasa Konstruksi Iuran dihitung berdasarkan nilai proyek, mencakup program Jaminan Kecelakaan Kerja (JKK) dan Jaminan Kematian (JKM). Iuran untuk Pekerja Migran Indonesia Jaminan Kecelakaan Kerja (JKK) dan Jaminan Kematian (JKM): Masa sebelum bekerja: Rp 37.500 Masa selama dan setelah bekerja: 24 bulan: Rp 332.500 12 bulan: Rp 189.000 6 bulan: Rp 108.000 * Perpanjangan kepesertaan: Rp 13.500 per bulan. Jaminan Hari Tua (JHT): Pilihan iuran: Rp 50.000, Rp 100.000, Rp 200.000, Rp 300.000, Rp 400.000, Rp 500.000, atau Rp 600.000."
UMUM,PENGERTIAN UMUM,Apa sajakah formulir yang wajib diisi pemberi kerja yang akan mendaftarkan dirinya dan pekerjanya ke BPJS Ketenagakerjaan?,"Pemberi kerja yang akan mendaftarkan dirinya dan pekerjanya dalam Program Jaminan Sosial Ketenagakerjaan wajib mengisi dan menyampaikan formulir pendaftaran peserta yang ditetapkan oleh BPJS Ketenagakerjaan, yaitu:, Formulir Pendaftaran Pemberi kerja (F1) Formulir Pendaftaran/Perubahan Data Pekerja (F1a) Formulir Rincian Iuran Pekerja (F2)., Khusus untuk pelaksana proyek Jakon, formulir yang ditetapkan yaitu:, Formulir Pendaftaran Proyek Jasa Konstruksi (F1 Jakon) Formulir Daftar Harga Satuan Upah Pekerja (F1a Jakon) Formulir Daftar Nama Pekerja (F1a1 Jakon)"
UMUM,PENGERTIAN UMUM,Apakah dokumen persyaratan pendaftaran BPJS Ketenagakerjaan?,"Pendaftaran BPJS Ketenagakerjaan dilakukan oleh pemberi kerja / instansi / badan usaha. Syarat pendaftaran harus melampirkan:, Fotokopi KTP Fotokopi KK Fotokopi NPWP Surat ijin usaha dan/atau bukti sementara pengurusan izin usaha dari pihak yang berwenang Formulir pendaftaran Jaminan Sosial ketenagakerjaan sesuai dengan peraturan dan perundangan yang berlaku."
UMUM,PENGERTIAN UMUM,Bagaimana caranya badan usaha/pemberi kerja mendaftar untuk menjadi peserta BPJS Ketenagakerjaan?,"Pendaftaran BPJS Ketenagakerjaan dapat dilakukan melalui kanal fisik dan kanal elektronik yang telah disediakan oleh BPJS Ketenagakerjaan., Kanal fisik yang disediakan oleh BPJS Ketenagakerjaan antara lain: Kantor BPJS Ketenagakerjaan Kantor SPO (Service Point Office) Bank kerjasama (Cabang Tertentu): Bank Mandiri, BNI, BRI, BTN. Kantor Pelayanan Terpadu Satu Pintu (PTSP) dan Mall Pelayanan Publik (MPP) yang telah bekerja sama dengan BPJS Ketenagakerjaan. Kanal non fisik yang disediakan oleh BPJS Ketenagakerjaan seperti Pendaftaran Online Mandiri (melalui website BPJS Ketenagakerjaan) www.bpjsketenagakerjaan.go.id, Aplikasi i.saku milik Indomaret, Aplikasi Shopee, Aplikasi Bukalapak, Aplikasi Bukamitra, Aplikasi AYO SRC milik Toko Kelontong Sampoerna Retail Community dan Online Single Submission (OSS)."
UMUM,PENGERTIAN UMUM,Sejak kapan status kepesertaan berlaku dan mendapat perlindungan untuk badan usaha yang baru mendaftar?,Kepesertaan awal badan usaha dinyatakan sah dan berlaku sejak formulir pendaftaran diterima dan iuran pertama sudah dibayar lunas (cash basis).
UMUM,PENGERTIAN UMUM,Apakah pekerja magang dan siswa kerja praktik wajib menjadi peserta BPJS Ketenagakerjaan?,"Pekerja magang, siswa kerja praktek, atau narapidana dalam proses asimilasi yang dipekerjakan pada pemberi kerja Penyelenggara Negara maupun Bukan Penyelenggara Negara, dianggap sebagai pekerja dan berhak untuk memperoleh perlindungan program JKK dan JKM."
UMUM,PENGERTIAN UMUM,Adakah syarat minimal jumlah tenaga kerja di suatu perusahaan yang akan mendaftar?,Perusahaan wajib mendaftarkan seluruh pekerjanya ke dalam program Jaminan Sosial Ketenagakerjaan.
